"SurveyId","agegrp","var","n","per","perwt"
"KH2021DHS","45-49","MSC",15,0.375,0.388807986288746
"TZ2022DHS","<15","LB",27,0.818181818181818,0.759599478224169
"TZ2022DHS","<15","MSC",6,0.181818181818182,0.240400521775831
"TZ2022DHS","15-19","AB",4,0.00227143668370244,0.0028715521347108
"TZ2022DHS","15-19","LB",1616,0.917660420215787,0.915767981467998
"TZ2022DHS","15-19","MSC",113,0.064168086314594,0.0658964141974468
"TZ2022DHS","15-19","SB",28,0.0159000567859171,0.0154640521998444
"TZ2022DHS","20-24","AB",7,0.00223713646532438,0.0022344015297952
"TZ2022DHS","20-24","LB",2883,0.921380632790029,0.926702178033791
"TZ2022DHS","20-24","MSC",199,0.0635985937999361,0.0591994372797366
"TZ2022DHS","20-24","SB",40,0.0127836369447108,0.011863983156677
"TZ2022DHS","25-29","AB",3,0.00111731843575419,0.00129114570519579
"TZ2022DHS","25-29","LB",2473,0.921042830540037,0.920102594409116
"TZ2022DHS","25-29","MSC",170,0.0633147113594041,0.0616505765168556
"TZ2022DHS","25-29","SB",39,0.0145251396648045,0.0169556833688323
"TZ2022DHS","30-34","AB",2,0.000961076405574243,0.000534045587172035
"TZ2022DHS","30-34","LB",1901,0.913503123498318,0.911183282424291
"TZ2022DHS","30-34","MSC",139,0.0667948101874099,0.0686661017821359
"TZ2022DHS","30-34","SB",39,0.0187409899086977,0.0196165702064014
"TZ2022DHS","35-39","AB",3,0.00209059233449477,0.00228213834995168
"TZ2022DHS","35-39","LB",1267,0.882926829268293,0.897979143731591
"TZ2022DHS","35-39","MSC",131,0.0912891986062718,0.0750063258865482
"TZ2022DHS","35-39","SB",34,0.0236933797909408,0.0247323920319088
"TZ2022DHS","40-44","AB",2,0.00333889816360601,0.00243058362362926
"TZ2022DHS","40-44","LB",489,0.816360601001669,0.796235005835989
"TZ2022DHS","40-44","MSC",95,0.158597662771285,0.17929537332039
"TZ2022DHS","40-44","SB",13,0.0217028380634391,0.0220390372199919
"TZ2022DHS","45-49","LB",52,0.702702702702703,0.564866781621949
"TZ2022DHS","45-49","MSC",18,0.243243243243243,0.411183093986299
"TZ2022DHS","45-49","SB",4,0.0540540540540541,0.0239501243917511
