"SurveyId","agegrp","LB","SB","TRM","n_LB","n_SB","n_TRM","LB_fph","SB_fph","MSC_fph","AB_fph","TRM_fph","n_LB_fph","n_SB_fph","n_MSC_fph","n_AB_fph","n_TRM_fph","noAdj","adjSB","adjTRM","adjAll","adjSB_fph","adjTRM_fph","adjAll_fph","adjAB_fph","adjMSC_fph","adjMSCSB_fph"
"BF2021DHS","15-19",0.921722664120129,0.017280944119331,0.0609963917605398,1128,19,80,0.929827738685709,0.0130213941319267,0.0465159310420539,0.0106349361403108,0.0571508671823647,1838,26,95,20,115,1,1.01874852902291,1.06617651288717,1.08492504191008,1.0140040930058,1.06146393015027,1.07546802315607,1.01143753374721,1.05002639640306,1.06403048940886
"BF2021DHS","20-24",0.937053307138626,0.0103328401967708,0.0526138526646037,2646,27,150,0.935788387728432,0.0109901251649647,0.0458062349538841,0.00741525215271911,0.0532214871066032,3096,32,158,28,186,1,1.01102695024718,1.05614819590709,1.06717514615426,1.01174424187037,1.05687342117569,1.06861766304606,1.00792406942634,1.04894935174936,1.06069359361973
"BF2021DHS","25-29",0.944833608668798,0.00986805833472365,0.0452983329964788,2505,29,125,0.940298922597238,0.0110856029840246,0.0388694573455251,0.00974601707321269,0.0486154744187378,2880,35,123,32,155,1,1.01044422874481,1.04794318553115,1.05838741427597,1.01178944558758,1.05170214838113,1.06349159396871,1.01036480723204,1.04133734114909,1.05312678673668
"BF2021DHS","30-34",0.938824910968821,0.0137204829600642,0.0474546060711146,2053,28,107,0.934930938757643,0.0136065603097249,0.0432908331960267,0.00817166773660563,0.0514625009326323,2349,31,110,23,133,1,1.01461452801237,1.05054681178213,1.0651613397945,1.01455354587774,1.05504417363813,1.06959771951586,1.00874039717571,1.04630377646241,1.06085732234015
"BF2021DHS","35-39",0.914104228492656,0.0158089709115337,0.0700868005958106,1325,23,93,0.904389109451774,0.0170631808203323,0.0651071701526397,0.0134405395752544,0.0785477097278941,1451,27,96,21,117,1,1.01729449489322,1.07667265768082,1.09396715257404,1.01886707905038,1.08685167579639,1.10571875484678,1.01486145668362,1.07199021911277,1.09085729816316
"BF2021DHS","40-44",0.893095905920045,0.0239729928046071,0.0829311012753483,556,15,58,0.872822674506301,0.0251515799101678,0.072815818030873,0.0292099275526583,0.102025745583531,523,15,51,15,66,1,1.0268425738442,1.09285800184014,1.11970057568434,1.02881636859903,1.11689172218313,1.14570809078217,1.03346605032824,1.08342567185489,1.11224204045393
"BF2021DHS","45-49",0.793112956871797,0.0319942157143319,0.174892827413871,76,3,14,0.810714513662492,0.0383169826811625,0.129771888818801,0.0211966148375443,0.150968503656345,62,3,10,2,12,1,1.04034004921635,1.22051439949195,1.2608544487083,1.04726322526047,1.18621660413396,1.23347982939443,1.02614559685355,1.16007100728041,1.20733423254088
"BJ2006DHS","15-19",0.950313026561403,0.0355511264051799,0.0141358470334165,491,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.03740991169385,1.01487493766613,1.05228484935999,NA,NA,NA,NA,NA,NA
"BJ2006DHS","20-24",0.965606125660463,0.0126395856004331,0.0217542887391044,3163,39,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.01308979434217,1.0225291536176,1.03561894795977,NA,NA,NA,NA,NA,NA
"BJ2006DHS","25-29",0.961887710946679,0.00918331271075718,0.0289289763425641,5575,53,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.00954717749925,1.03007521149646,1.03962238899571,NA,NA,NA,NA,NA,NA
"BJ2006DHS","30-34",0.962507087321275,0.0106986449577105,0.0267942677210145,4036,46,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.01111539343309,1.02783799524592,1.03895338867901,NA,NA,NA,NA,NA,NA
"BJ2006DHS","35-39",0.953113738706462,0.013869413640458,0.0330168476530801,2632,38,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.01455168788069,1.03464103633412,1.04919272421481,NA,NA,NA,NA,NA,NA
"BJ2006DHS","40-44",0.960324755201047,0.0123760187615705,0.0272992260373825,1192,16,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.0128873265992,1.02842707728769,1.04131440388689,NA,NA,NA,NA,NA,NA
"BJ2006DHS","45-49",0.962430034728871,0.0148196714143937,0.022750293856735,474,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.01539818052184,1.02363838724458,1.03903656776642,NA,NA,NA,NA,NA,NA
"BJ2017DHS","15-19",0.917878791512789,0.0147145870898286,0.0674066213973827,1298,19,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.0160310786412,1.07343738848818,1.08946846712937,NA,NA,NA,NA,NA,NA
"BJ2017DHS","20-24",0.929574181910113,0.00872386400096017,0.0617019540889264,3422,33,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.00938479593208,1.06637657896451,1.07576137489659,NA,NA,NA,NA,NA,NA
"BJ2017DHS","25-29",0.94125245586749,0.0048921729420797,0.0538553711904305,3517,18,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.00519751413299,1.05721671253521,1.0624142266682,NA,NA,NA,NA,NA,NA
"BJ2017DHS","30-34",0.945247821933523,0.00776621510161086,0.0469859629648664,2245,17,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.0082160624139,1.04970756014942,1.05792362256332,NA,NA,NA,NA,NA,NA
"BJ2017DHS","35-39",0.921840017519315,0.00717817985316528,0.0709818026275199,1324,10,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.007786795666,1.07700013156137,1.08478692722737,NA,NA,NA,NA,NA,NA
"BJ2017DHS","40-44",0.882613683312156,0.0193730698202203,0.0980132468676235,530,9,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.02194965950167,1.11104886398295,1.13299852348463,NA,NA,NA,NA,NA,NA
"BJ2017DHS","45-49",0.781103860698196,0.0102726590952646,0.20862348020654,86,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.01315146373247,1.26708801569622,1.28023947942869,NA,NA,NA,NA,NA,NA
"BO1994DHS","15-19",0.926816454565157,0.0249317070301935,0.0482518384046491,300,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.02690037159719,1.05206191384171,1.0789622854389,NA,NA,NA,NA,NA,NA
"BO1994DHS","20-24",0.929978625468324,0.00956800121028379,0.0604533733213917,962,8,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.01028840980669,1.06500512126389,1.07529353107058,NA,NA,NA,NA,NA,NA
"BO1994DHS","25-29",0.91582587929365,0.00918095517238005,0.0749931655339696,1024,10,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.01002478241766,1.08188583357331,1.09191061599097,NA,NA,NA,NA,NA,NA
"BO1994DHS","30-34",0.881066174473897,0.00870734114143067,0.110226484384672,775,8,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.00988273230059,1.12510579520374,1.13498852750433,NA,NA,NA,NA,NA,NA
"BO1994DHS","35-39",0.898117827565747,0.0218753950681431,0.0800067773661104,512,10,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.02435693223843,1.08908271822525,1.11343965046367,NA,NA,NA,NA,NA,NA
"BO1994DHS","40-44",0.863870464146117,0.0145008788404391,0.121628657013444,243,4,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.01678594122878,1.14079501737991,1.15758095860869,NA,NA,NA,NA,NA,NA
"BO1994DHS","45-49",0.949788978229256,0.0286574546810741,0.0215535670896698,44,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.0301724439196,1.02269300611369,1.05286545003329,NA,NA,NA,NA,NA,NA
